"id","season","episode","title","release_date","length_min","my_rating","imdb_rating","timeframe_id","network_id","director_id","description"
1,1,1,The National Anthem,2011-12-04,44,4.5,7.7,2,2,10,"Prime Minister Michael Callow faces a shocking dilemma when Princess Susannah, a much-loved member of the Royal Family, is kidnapped."
2,1,2,Fifteen Million Merits,2011-12-11,62,8.8,8.0,1,2,19,"In a world where people's lives consist of riding exercise bikes to gain credits, Bing tries to help a woman get on to a singing competition show."
3,1,3,The Entire History of You,2011-12-18,49,9.3,8.5,1,2,4,"In the near future, everyone has access to a memory implant that records everything they do, see and hear. You need never forget a face again - but is that always a good thing?"
4,2,1,Be Right Back,2013-02-11,49,7.7,8.0,1,2,5,"After learning about a new service that lets people stay in touch with the deceased, a lonely, grieving Martha reconnects with her late lover."
5,2,2,White Bear,2013-02-18,42,6.7,8.0,1,2,12,"Victoria wakes up and cannot remember anything about her life. Everyone she encounters refuses to communicate with her, and they all seem to know something she doesn't. But what?"
6,2,3,The Waldo Moment,2013-02-25,43,5.6,6.6,2,2,22,A failed comedian who voices a popular cartoon bear named Waldo finds himself mixing in politics when TV executives want Waldo to run for office.
7,2,4,White Christmas,2014-12-16,74,9.5,9.1,1,2,12,Three interconnected tales of technology run amok during the Christmas season are told by two men at a remote outpost in a frozen wilderness.
8,3,1,Nosedive,2016-10-21,63,8.4,8.3,1,1,7,"A woman desperate to boost her social media score hits the jackpot when she's invited to a swanky wedding, but the trip doesn't go as planned."
9,3,2,Playtest,2016-10-21,57,6.9,8.1,1,1,16,"An American traveler short on cash signs up to test a revolutionary new gaming system, but soon can't tell where the hot game ends and reality begins."
10,3,3,Shut Up and Dance,2016-10-21,52,8.0,8.4,2,1,17,"When withdrawn Kenny stumbles headlong into an online trap, he is quickly forced into an uneasy alliance with shifty Hector, both at the mercy of persons unknown."
11,3,4,San Junipero,2016-10-21,61,10.0,8.6,1,1,5,"When Yorkie and Kelly visit San Junipero, a fun-loving beach town full of surf, sun and sex, their lives are changed."
12,3,5,Men Against Fire,2016-10-21,60,6.3,7.5,1,1,20,Future soldiers Stripe and Raiman must protect frightened villagers from an infestation of vicious feral mutants.
13,3,6,Hated in the Nation,2016-10-21,89,7.3,8.5,1,1,6,"In near-future London, police detective Karin Parke, and her tech-savvy sidekick Blue, investigate a string of mysterious deaths with a sinister link to social media."
14,4,1,USS Callister,2017-12-29,77,9.2,8.3,1,1,8,Capt. Robert Daly presides over his crew with wisdom and courage. But a new recruit will soon discover nothing on this spaceship is what it seems.
15,4,2,Arkangel,2017-12-29,52,6.4,7.3,1,1,14,"After nearly losing her daughter, a mother invests in a new technology that allows her to keep track of her."
16,4,3,Crocodile,2017-12-29,59,5.2,7.3,1,1,2,"An insurance agent investigates a minor traffic incident using a device that manifests peoples' memories, but one of her witnesses has something to hide."
17,4,4,Hang the DJ,2017-12-29,52,8.1,8.7,1,1,9,"Paired up by a dating program that puts an expiration date on all relationships, Frank and Amy soon begin to question the system's logic."
18,4,5,Metalhead,2017-12-29,41,4.1,6.6,1,1,18,"In the post-apocalyptic landscape of the Scottish Moors, a woman attempts to survive the land full of ""dogs."""
19,4,6,Black Museum,2017-12-29,69,7.0,8.6,1,1,3,"A woman enters the Black Museum, where the proprietor tells his stories relating to the artifacts."
20,5,1,Striking Vipers,2019-06-05,62,8.3,6.9,1,1,5,"Two estranged college friends reunite in later life, triggering a series of events that could alter their lives forever."
21,5,2,Smithereens,2019-06-05,70,5.8,7.5,2,1,6,A cab driver with an agenda becomes the center of attention on a day that rapidly spirals out of control.
22,5,3,"Rachel, Jack and Ashley Too",2019-06-05,67,6.2,6.1,1,1,1,A lonely teenager yearns to connect with her favorite pop star - whose charmed existence isn't quite as rosy as it appears...
23,6,1,Joan Is Awful,2023-06-15,58,7.5,7.5,1,1,11,An average woman is stunned to discover a global streaming platform has launched a prestige TV drama adaptation of her life - in which she is portrayed by Hollywood A-lister Salma Hayek.
24,6,2,Loch Henry,2023-06-15,56,5.1,7.4,2,1,13,A young couple travel to a sleepy Scottish town to start work on a genteel nature documentary - but find themselves drawn to a juicy local story involving shocking events of the past.
25,6,3,Beyond the Sea,2023-06-15,80,7.9,7.5,3,1,21,"In an alternative 1969, two men on a perilous high-tech mission wrestle with the consequences of an unimaginable tragedy."
26,6,4,Mazey Day,2023-06-15,42,6.8,5.3,3,1,15,A troubled starlet is dogged by invasive paparazzi while dealing with the consequences of a hit-and-run incident.
27,6,5,Demon 79,2023-06-15,74,4.2,6.8,3,1,8,"Northern England, 1979. A meek sales assistant is told she must commit terrible acts to prevent disaster."
